名稱zh,名稱en,國籍zh,國籍en,能力,潛力,偏好位置總數,偏好位置1,偏好位置2,偏好位置3,年齡,Hits,球隊zh,球隊en,租借球隊zh,租借球隊en
Lionel Messi,Lionel Messi,阿根廷,Argentina,94,94,3,RW,ST,CF,33,59,巴塞隆拿,FC Barcelona,,
Cristiano Ronaldo,Cristiano Ronaldo,葡萄牙,Portugal,93,93,2,ST,LW,,35,41,祖雲達斯,Juventus,,
Neymar Jr,Neymar Jr,巴西,Brazil,92,92,2,LW,CAM,,28,31,巴黎聖日耳門,Paris Saint-Germain,,
Virgil van Dijk,Virgil van Dijk,荷蘭,Netherlands,91,92,1,CB,,,28,15,利物浦,Liverpool,,
Jan Oblak,Jan Oblak,斯洛文尼亞,Slovenia,91,93,1,GK,,,27,16,馬德里體育會,Atlético Madrid,,
Kevin De Bruyne,Kevin De Bruyne,比利時,Belgium,91,91,2,CAM,CM,,29,34,曼城,Manchester City,,
Robert Lewandowski,Robert Lewandowski,波蘭,Poland,91,91,1,ST,,,31,11,拜仁慕尼黑,FC Bayern München,,
Eden Hazard,Eden Hazard,比利時,Belgium,91,91,2,LW,ST,,29,15,皇家馬德里,Real Madrid,,
Alisson,Alisson,巴西,Brazil,90,91,1,GK,,,27,12,利物浦,Liverpool,,
Mohamed Salah,Mohamed Salah,埃及,Egypt,90,90,2,RW,ST,,28,21,利物浦,Liverpool,,
Sadio Mané,Sadio Mané,塞內加爾,Senegal,90,90,1,LW,,,28,19,利物浦,Liverpool,,
Marc-André ter Stegen,Marc-André ter Stegen,德國,Germany,90,93,1,GK,,,28,18,巴塞隆拿,FC Barcelona,,
Sergio Agüero,Sergio Agüero,阿根廷,Argentina,90,90,1,ST,,,32,17,曼城,Manchester City,,
Kylian Mbappé,Kylian Mbappé,法國,France,89,95,3,ST,LW,RW,21,41,巴黎聖日耳門,Paris Saint-Germain,,
N'Golo Kanté,N'Golo Kanté,法國,France,89,89,2,CDM,CM,,29,14,車路士,Chelsea,,
Harry Kane,Harry Kane,英格蘭,England,89,91,1,ST,,,26,12,熱刺,Tottenham Hotspur,,
Antoine Griezmann,Antoine Griezmann,法國,France,89,89,3,CF,ST,LW,29,19,巴塞隆拿,FC Barcelona,,
Toni Kroos,Toni Kroos,德國,Germany,89,89,1,CM,,,30,21,皇家馬德里,Real Madrid,,
Luka Modrić,Luka Modrić,克羅地亞,Croatia,89,89,1,CM,,,34,16,皇家馬德里,Real Madrid,,
Luis Suárez,Luis Suárez,烏拉圭,Uruguay,89,89,1,ST,,,33,16,巴塞隆拿,FC Barcelona,,
Manuel Neuer,Manuel Neuer,德國,Germany,89,89,1,GK,,,34,8,拜仁慕尼黑,FC Bayern München,,
Sergio Ramos,Sergio Ramos,西班牙,Spain,89,89,1,CB,,,34,13,皇家馬德里,Real Madrid,,
Ederson,Ederson,巴西,Brazil,88,91,1,GK,,,26,8,曼城,Manchester City,,
Raheem Sterling,Raheem Sterling,英格蘭,England,88,90,2,LW,RW,,25,15,曼城,Manchester City,,
