FC Barcelona,LaLiga Santander,88,85,85,86,100
Real Madrid,LaLiga Santander,85,87,85,86,100
Juventus,Serie A TIM,89,84,85,85,100
Paris Saint-Germain,Ligue 1 Conforama,88,84,83,85,100
Manchester City,Premier League,87,86,83,85,100
Liverpool,Premier League,87,83,85,85,100
FC Bayern München,Bundesliga,87,85,81,84,100
Atlético Madrid,LaLiga Santander,81,83,82,83,100
Tottenham Hotspur,Premier League,85,82,82,82,90
Napoli,Serie A TIM,84,81,81,82,90
Borussia Dortmund,Bundesliga,83,83,82,82,90
Inter,Serie A TIM,83,80,86,82,90
Manchester United,Premier League,83,81,81,81,90
Lazio,Serie A TIM,82,81,80,81,90
Valencia CF,LaLiga Santander,81,81,81,81,90
Chelsea,Premier League,80,84,81,81,90
Arsenal,Premier League,84,82,78,80,90
RB Leipzig,Bundesliga,81,81,79,80,90
Real Betis,LaLiga Santander,81,81,78,80,90
Bayer 04 Leverkusen,Bundesliga,80,80,79,80,90
Sevilla FC,LaLiga Santander,79,81,80,80,90
Ajax,Eredivisie,78,81,78,80,90
Milan,Serie A TIM,85,78,79,79,90
Roma,Serie A TIM,84,78,78,79,90
Atalanta,Serie A TIM,82,79,77,79,90
Real Sociedad,LaLiga Santander,81,80,77,79,90
Leicester City,Premier League,80,79,79,79,90
Villarreal CF,LaLiga Santander,80,79,78,79,90
Athletic Club,LaLiga Santander,79,79,79,79,90
Olympique Lyonnais,Ligue 1 Conforama,79,78,77,79,90
SL Benfica,Liga NOS,78,80,80,79,90
Borussia Mönchengladbach,Bundesliga,78,79,78,79,90
FC Porto,Liga NOS,78,78,82,79,90
West Ham United,Premier League,82,78,73,78,80
Everton,Premier League,80,78,79,78,80
Olympique de Marseille,Ligue 1 Conforama,80,78,77,78,80
AS Monaco Football Club SA,Ligue 1 Conforama,80,78,76,78,80
Getafe CF,LaLiga Santander,80,77,78,78,80
Wolverhampton Wanderers,Premier League,79,79,78,78,80
RC Celta,LaLiga Santander,80,77,76,77,80
Galatasaray SK,Süper Lig,79,77,76,77,80
TSG 1899 Hoffenheim,Bundesliga,79,77,75,77,80
Torino,Serie A TIM,79,76,77,77,80
River Plate,Libertadores,78,78,77,77,80
RCD Espanyol,LaLiga Santander,78,78,76,77,80
SD Eibar,LaLiga Santander,78,78,75,77,80
Eintracht Frankfurt,Bundesliga,78,77,77,77,80
VfL Wolfsburg,Bundesliga,77,77,78,77,80
Levante UD,LaLiga Santander,77,77,76,77,80
LOSC Lille,Ligue 1 Conforama,77,77,76,77,80
SV Werder Bremen,Bundesliga,77,76,77,77,80
Watford,Premier League,76,78,75,77,80
FC Schalke 04,Bundesliga,76,77,76,77,80
Newcastle United,Premier League,75,78,77,77,80
Crystal Palace,Premier League,73,77,76,77,80
AFC Bournemouth,Premier League,78,76,76,76,80
Racing Club,SAF,78,76,75,76,80
Beşiktaş JK,Süper Lig,78,76,75,76,80
Flamengo,Libertadores,78,76,74,76,80
Cagliari,Serie A TIM,78,76,73,76,80
SC Braga,Liga NOS,77,77,76,76,80
Burnley,Premier League,77,76,76,76,80
Hertha BSC,Bundesliga,77,75,75,76,80
Aston Villa,Premier League,77,75,75,76,80
Stade Rennais FC,Ligue 1 Conforama,76,77,76,76,80
Southampton,Premier League,76,76,76,76,80
R. Valladolid CF,LaLiga Santander,76,76,73,76,80
D. Alavés,LaLiga Santander,76,75,76,76,80
Fiorentina,Serie A TIM,76,74,75,76,80
Boca Juniors,Libertadores,75,76,76,76,80
Brighton & Hove Albion,Premier League,75,76,76,76,80
Sporting CP,Liga NOS,74,77,78,76,80
Club Brugge KV,Pro League,73,77,77,76,80
Lokomotiv Moscow,Rest of World,73,77,76,76,80
AS Saint-Étienne,Ligue 1 Conforama,73,76,75,76,80
Palmeiras,Libertadores,79,76,74,75,80
Shakhtar Donetsk,Rest of World,78,76,72,75,80
FC Augsburg,Bundesliga,78,74,75,75,80
Montpellier Hérault SC,Ligue 1 Conforama,78,74,75,75,80
Olympiacos CFP,Rest of World,77,75,73,75,80
Tigres U.A.N.L.,LIGA BBVA MX,77,72,75,75,80
Fenerbahçe SK,Süper Lig,76,76,73,75,80
Granada CF,LaLiga Santander,76,75,75,75,80
1. FC Köln,Bundesliga,76,75,73,75,80
Medipol Başakşehir FK,Süper Lig,76,74,75,75,80
PSV,Eredivisie,75,75,76,75,80
FC Girondins de Bordeaux,Ligue 1 Conforama,75,75,76,75,80
CD Leganés,LaLiga Santander,75,75,75,75,80
São Paulo,Libertadores,75,75,75,75,80
Udinese,Serie A TIM,75,75,74,75,80
Genoa,Serie A TIM,75,74,75,75,80
1. FSV Mainz 05,Bundesliga,75,73,75,75,80
OGC Nice,Ligue 1 Conforama,74,76,74,75,80
Sheffield United,Premier League,73,77,75,75,80
Grêmio,Liga do Brasil,72,75,74,75,80
Sampdoria,Serie A TIM,78,73,73,74,70
Sassuolo,Serie A TIM,77,75,71,74,70
Al Hilal,MBS Pro League,77,75,70,74,70
Atlético Mineiro,Liga do Brasil,76,75,74,74,70
Monterrey,LIGA BBVA MX,76,74,74,74,70
CA Osasuna,LaLiga Santander,76,74,74,74,70
KAA Gent,Pro League,76,74,73,74,70
Sport-Club Freiburg,Bundesliga,76,73,75,74,70
Feyenoord,Eredivisie,75,75,73,74,70
RC Strasbourg Alsace,Ligue 1 Conforama,75,74,74,74,70
Parma,Serie A TIM,75,74,73,74,70
Norwich City,Premier League,75,74,72,74,70
FC Nantes,Ligue 1 Conforama,75,73,74,74,70
Bologna,Serie A TIM,74,76,73,74,70
Angers SCO,Ligue 1 Conforama,74,75,74,74,70
